ID,Tweet,Influenza,Diarrhea,Hayfever,Cough,Headache,Fever,Runnynose,Cold,labels,is_test
63en,"I took medicine for coughing, but I'm still coughing. Now my back hurts.",0,0,0,1,0,0,0,1,Cough;Cold,False
64en,Allergy season has arrived sooner than I ever expected.,0,0,0,0,0,0,0,0,sober,False
65en,"A woman should cover her mouth when she coughs, it's called etiquette!",0,0,0,1,0,0,0,0,Cough,False
66en,"I'm so scared of today's flu shot, and it's not even surgery or anything.",0,0,0,0,0,0,0,0,sober,False
67en,It is good manners to wear a mask when you have a cough.,0,0,0,1,0,0,0,0,Cough,False
68en,I wonder if I can find a cure for a stuffy nose on blogs.,0,0,0,0,0,0,1,0,Runnynose,False
69en,"Since I have a fever, I can somewhere cool, right?",0,0,0,0,0,1,0,0,Fever,False
70en,It's been a long while since I've had such a vicious headache. I'm going home.,0,0,0,0,1,0,0,0,Headache,False
71en,"Um, it's really bad that I got a cold now. What timing.",0,0,0,0,0,0,0,1,Cold,False
72en,We have a dire situation here with our homeroom teacher catching the flu.,1,0,0,0,0,1,0,0,Influenza;Fever,False
73en,I felt weak and now my head is starting to hurt.,0,0,0,0,1,0,0,0,Headache,False
74en,They say the number of cold patients are exponentially rising.,0,0,0,0,0,0,0,0,sober,False
75en,It's insane when you wake up with a headache.,0,0,0,0,1,0,0,0,Headache,False
76en,I was the first one to catch a cold in my family this time around.,0,0,0,0,0,0,0,1,Cold,False
77en,"Since I have a bad head cold, I am so happy about these soft tissues.",0,0,0,0,0,0,1,1,Runnynose;Cold,False
78en,"Although I had a throbbing headache, the doctor rejected me.",0,0,0,0,1,0,0,0,Headache,False
79en,I have a slight stomachache and diarrhea lately.,0,1,0,0,0,0,0,0,Diarrhea,False
80en,I didn't know that dogs get stuffy noses too.,0,0,0,0,0,0,0,0,sober,False
81en,What kind of food is good for phlegm? Someone help me!,0,0,0,1,0,0,0,0,Cough,False
82en,It looks like there's a disease called Spanish flu.,0,0,0,0,0,0,0,0,sober,False
83en,I'm not going to my club meeting because I've got the flu.,1,0,0,0,0,1,0,0,Influenza;Fever,False
84en,It's awful to have diarrhea first thing in the morning.,0,1,0,0,0,0,0,0,Diarrhea,False
85en,I learned from the news that those prone to a high fever tend to go without getting sick.,0,0,0,0,0,0,0,0,sober,False
86en,"I went to the ENT and was diagnosed with sinusitis. That makes me wonder if a runny nose is because of sinusitis? I have no idea, but I got a tremendous amount of medicine.",0,0,0,0,0,0,1,1,Runnynose;Cold,False
87en,It's such a bummer that there is no testing system established during bird flu season.,0,0,0,0,0,0,0,0,sober,False
88en,"I bought a bento to go, but the container is insanely hot, it's ridiculous.",0,0,0,0,0,0,0,0,sober,False
89en,I slept too much and my back hurts. Give me a break.,1,0,0,0,0,1,0,0,Influenza;Fever,False
90en,"In order to cool down a heated cell phone, it seems good to put it in a cool place.",0,0,0,0,0,0,0,0,sober,False
91en,I have a cold and my stuffy nose is killing me ,0,0,0,0,0,0,1,1,Runnynose;Cold,False
92en,"I might have a slight fever, possibly because of the sudden temperature drop yesterday. It's easy to get sick when the weather changes.",0,0,0,0,0,1,0,0,Fever,False
93en,It's hard to go to school when I woke up with the worst headache I've had in a while.,0,0,0,0,1,0,0,0,Headache,False
94en,They better have some measures in place for the celebrity meet-and-greet. It's like a hotbead for disease.,0,0,0,0,0,0,0,0,sober,False
95en,"If it's the Spanish flu, it's going to be really as it's extremely contagious.",0,0,0,0,0,0,0,0,sober,False
96en,Is snot a bodily fluid?,0,0,0,0,0,0,1,0,Runnynose,False
97en,"When I got home, I discovered that my daughter has a fever. Her lymph nodes are swollen. I've got to take her to the doctor tomorrow.",0,0,0,0,0,1,0,0,Fever,False
98en,It makes me remember the nightmare when my stomach hurt and I got diarrhea.,0,1,0,0,0,0,0,0,Diarrhea,False
99en,"When you have allergies, it's really tiring, and you get a little fever.",0,0,1,0,0,1,1,0,Hayfever;Fever;Runnynose,False
100en,My day is ruined when I have a headache.,0,0,0,0,1,0,0,0,Headache,False
101en,In this season coughing and phlegm can be really bothersome. Washing hands and gargling is important.,0,0,0,1,0,0,0,0,Cough,False
102en,Allergies wear me out and make me lightheaded.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
103en,My head starts to hurt when I think about the contract.,0,0,0,0,0,0,0,0,sober,False
104en,"I'm almost dying of a cold, high fever and phlegm. Help me.",0,0,0,1,0,1,0,1,Cough;Fever;Cold,False
105en,It's really bad to have a headache and feel weak in the morning.,0,0,0,0,1,0,0,0,Headache,False
106en,I can't tell if my stuffy nose results from a cold or nasal inflammation.,0,0,0,0,0,0,1,1,Runnynose;Cold,False
107en,I read their blog and it seems like they're sick with a bad cold or something...,0,0,0,0,0,0,0,0,sober,False
108en,It looks like I've finally got allergies.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
109en,Is the mumps very contagious?,0,0,0,0,0,0,0,0,sober,False
110en,"For headaches, coffee seems to work.",0,0,0,0,1,0,0,0,Headache,False
111en,I was playing with a baby and I got smeared with snot.,0,0,0,0,0,0,1,0,Runnynose,False
112en,"Since I got a headache from being on the computer too much, I'm trying these glasses. I hope I'll get better.",0,0,0,0,0,0,0,0,sober,False
113en,It's so painful to hear loud noises when my head hurts.,0,0,0,0,1,0,0,0,Headache,False
114en,Having a chill made me realize I have a cold.,0,0,0,0,0,0,0,1,Cold,False
115en,I'm in flu danger. Not cool!,1,0,0,0,0,1,0,0,Influenza;Fever,False
116en,Is it really bad to have phlegm with blood in it?,0,0,0,1,0,0,0,0,Cough,False
117en,My abs are dying from all the coughing.,0,0,0,1,0,0,0,0,Cough,False
118en,"It's so bad, my nose is endlessly runny.",0,0,0,0,0,0,1,0,Runnynose,False
119en,I've been so weak with this vicious headache since this morning.,0,0,0,0,1,0,0,0,Headache,False
120en,I called in sick because of my headache.,0,1,0,0,0,0,0,0,Diarrhea,False
121en,My enthusiasm for mikos never ends.,0,0,0,0,0,0,0,0,sober,False
122en,I have school but I'll stay in bed because I have a slight headache.,0,0,0,0,1,0,0,0,Headache,False
123en,A group diarrhea outbreak. Damn.,0,0,0,0,0,0,0,0,sober,False
124en,"Oh my god, my diarrhea won't stop.",0,1,0,0,0,0,0,0,Diarrhea,False
125en,I woke up with symptoms of diarrhea.,0,1,0,0,0,0,0,0,Diarrhea,False
126en,"They say nasal irrigation works really works for a stuffy nose, but I don't have the guts to do that.",0,0,0,0,0,0,1,0,Runnynose,False
127en,There are a few patterns when it comes to women's coughing.,0,0,0,1,0,0,0,0,Cough,False
128en,My brother finally got over the flu!,0,0,0,0,0,0,0,0,sober,False
129en,I woke up with this bad headache. I'm thinking about calling in sick.,0,0,0,0,1,0,0,0,Headache,False
130en,I have eczema due to allergies. Can anyone recommend anything good for that?,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
131en,"I love dogs, but every time I touch one, my nose gets stuffy immediately.",0,0,0,0,0,0,1,0,Runnynose,False
132en,Is it okay to take a bath when I have a headache?,0,0,0,0,1,0,0,0,Headache,False
133en,"My head has been throbbing since this morning, and it's crazy.",0,0,0,0,1,0,0,0,Headache,False
134en,Does anyone know cheap medicine that works for allergies?,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
135en,"I have a cold, which makes my nose stuffy like crazy.",0,0,0,0,0,0,1,1,Runnynose;Cold,False
136en,My coughing might give me a cramp.,0,0,0,1,0,0,0,0,Cough,False
137en,"I feel lightheaded, feeling weak. I wonder if it's a cold.",0,0,0,0,0,0,0,1,Cold,False
138en,"When I go to China, I get what feels like year-round allergies.",0,0,0,0,0,0,0,0,sober,False
139en,My lymph nodes are swollen and I have a fever.,0,0,0,0,0,1,0,0,Fever,False
140en,I get a headache from wearing a helmet.,0,0,0,0,0,0,0,0,sober,False
141en,A cold doesn't seem to be considered an illness. I'm in trouble.,0,0,0,0,0,0,0,1,Cold,False
142en,I took medicine because I have a lot of phlegm.,0,0,0,1,0,0,0,0,Cough,False
143en,My cold isn't getting better and I feel so weak.,0,0,0,0,0,0,0,1,Cold,False
144en,I took medicine and I stopped coughing!,0,0,0,1,0,0,0,0,Cough,False
145en,I was watching news about Nepal that reminded me of having severe diarrhea when I was traveling there.,0,0,0,0,0,0,0,0,sober,False
146en,The bird flu is so crazy.,0,0,0,0,0,0,0,0,sober,False
147en,"I looked up Spanish flu, and it's bad.",0,0,0,0,0,0,0,0,sober,False
148en,It's been a while since I haven't been able to stop blowing my nose because of allergies.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
149en,I'm so drowsy from the cold medicine I took.,0,0,0,0,0,0,0,1,Cold,False
150en,"God, my head hurts so bad. I'm going to bed right away.",0,0,0,0,1,0,0,0,Headache,False
151en,Is it ok to take a bath when I have a headache?,0,0,0,0,1,0,0,0,Headache,False
152en,"Jeez. I first got a runny nose, then a headache. I took medicine and didn't go to school.",0,0,0,0,1,0,1,1,Headache;Runnynose;Cold,False
153en,I'm so happy that I got rid of my stuffy nose.,0,0,0,0,0,0,0,0,sober,False
154en,There are many kids who have a cold and high fever during this season.,0,0,0,0,0,0,0,0,sober,False
155en,I got allergies for the first time in years.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
156en,I got the flu when I have surgery soon. What am I going to do?,1,0,0,0,0,1,0,0,Influenza;Fever,False
157en,I can't take a break even though I have a fever. Work has been busy lately.,0,0,0,0,0,1,0,0,Fever,False
158en,I have a fever and my lymph nodes are really swollen.,0,0,0,0,0,1,0,0,Fever,False
159en,"This year, I'm going to be super ready for allergies.",0,0,0,0,0,0,0,0,sober,False
160en,I don't know how to say diarrhea in English. I don't even want to know.,0,0,0,0,0,0,0,0,sober,False
161en,"It's been a while since I've had such an intense headache, and I feel so weak. It's really bad.",0,0,0,0,1,0,0,0,Headache,False
162en,I never expected to get allergies. I'm surprised.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
163en,"Suddenly, I stopped getting allergies.",0,0,0,0,0,0,0,0,sober,False
164en,I wonder if bees get allergies.,0,0,0,0,0,0,0,0,sober,False
165en,"I have a fever and my lymph nodes are swollen, but I can't call in sick today. Good luck, me.",0,0,0,0,0,1,0,0,Fever,False
166en,My nose got all runny once I got back to Tokyo.,0,0,0,0,0,0,1,0,Runnynose,False
167en,"My daughter has a fever, so she called in sick.",0,0,0,0,0,1,0,0,Fever,False
168en,It's proper manners to cover your mouth when you have to cough.,0,0,0,1,0,0,0,0,Cough,False
169en,I can't focus because of my diarrhea.,0,1,0,0,0,0,0,0,Diarrhea,False
170en,A Spanish cold seems really bad.,0,0,0,0,0,0,0,0,sober,False
171en,I woke up with severe diarrhea.,0,1,0,0,0,0,0,0,Diarrhea,False
172en,There's bird flu in China again.,0,0,0,0,0,0,0,0,sober,False
173en,My daughter has a fever. I'm going home ASAP.,0,0,0,0,0,1,0,0,Fever,False
174en,I'm already tired of my allergies.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
175en,"Oh, my god, I might have a cold, I have a runny nose and bad headache.",0,0,0,0,1,0,1,1,Headache;Runnynose;Cold,False
176en,Performance has not been so good lately. I cannot succumb to a cold.,0,0,0,0,0,0,0,1,Cold,False
177en,"I'm so happy that I finally got to play with my dog after recovering from a cold and a runny nose! I took pictures and uploaded them onto my blog, so please read it!",0,0,0,0,0,0,0,0,sober,False
178en,"In not a few cases, a fever appears with the infection.",0,0,0,0,0,0,0,0,sober,False
179en,"It's the worst having a cold, chill and headache.",0,0,0,0,1,0,0,1,Headache;Cold,False
180en,I can't take it. My nose won't stop running.,0,0,0,0,0,0,1,0,Runnynose,False
181en,Who's already got allergy symptoms? I do.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
182en,"It's serious when you have phlegm with blood in it, isn't it?",0,0,0,1,0,0,0,0,Cough,False
183en,I heard there is no disease called a cold.,0,0,0,0,0,0,0,0,sober,False
184en,I get so tired from coughing so bad. I also get phlegm and my head hurts too.,0,0,0,1,1,0,0,0,Cough;Headache,False
185en,"When I go out, I wear a mask to prevent catching the flu.",0,0,0,0,0,0,0,0,sober,False
186en,I'm already agonizing over allergies.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
187en,"I have a fever, and it  could be because I have the type of flu that I just saw on TV.",0,0,0,0,0,1,0,0,Fever,False
188en,"Pollen is all over the place, and my allergies are acting up again.",0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
189en,I might not go to work tomorrow because I have a fever.,0,0,0,0,0,1,0,0,Fever,False
190en,"I have an awful cough and phlegm, and am feverish, I'm not in great shape.",0,0,0,1,0,1,0,0,Cough;Fever,False
191en,There seem to be cases where you're infected with chicken pox and have no fever.,0,0,0,0,0,0,0,0,sober,False
192en,I got so tired from coughing the whole day.,0,0,0,1,0,0,0,0,Cough,False
193en,"Since I also have phlegm now, I'm going to see the doctor.",0,0,0,1,0,0,0,0,Cough,False
194en,I am so lightheaded because of a cold. It's such bad timing. I would call in sick if I could.,0,0,0,0,0,0,0,1,Cold,False
195en,My cold is kicking in. I feel it.,0,0,0,0,0,0,0,1,Cold,False
196en,"Since the day I went to see the doctor, I've been feverish. Did I catch anything over there?",0,0,0,0,0,1,0,0,Fever,False
197en,I heard that bird flu is spreading in China as well.,0,0,0,0,0,0,0,0,sober,False
198en,I should be vaccinated before getting the flu.,0,0,0,0,0,0,0,0,sober,False
199en,"My cold makes me feel lightheaded. Now I can officially rest, not going to school.",0,0,0,0,0,0,0,1,Cold,False
200en,"Anybody, any ideas for how to cope with a headache?""",0,0,0,0,1,0,0,0,Headache,False
201en,"As it got suddenly cold in Tokyo recently, I caught a cold and have a fever.",0,0,0,0,0,1,0,1,Fever;Cold,False
202en,The mumps can be really bad when you're an adult.,0,0,0,0,0,0,0,0,sober,False
203en,Time cures allergies.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
204en,I wrote about coughing etiquette on my blog.,0,0,0,0,0,0,0,0,sober,False
205en,Finally my stuffy nose is gone!,0,0,0,0,0,0,0,0,sober,False
206en,I'm in pain with a fever and my swollen lymph nodes.,0,0,0,0,0,1,0,0,Fever,False
207en,"Looks like food poisoning is going around, and my whole family has diarrhea now.",0,1,0,0,0,0,0,0,Diarrhea,False
208en,I was watching a soccer match and was hit with diarrhea.,0,1,0,0,0,0,0,0,Diarrhea,False
209en,I don't know how to deal with a headache.,0,0,0,0,1,0,0,0,Headache,False
210en,I bought something for allergies in the spring.,0,0,0,0,0,0,0,0,sober,False
211en,"I had had a minor fever, but I never thought it was because of allergies.",0,0,1,0,0,1,1,0,Hayfever;Fever;Runnynose,False
212en,I have had a fever since yesterday and my throat is swollen. I can sleep as long as I want. I'm not going to work tomorrow either.,0,0,0,1,0,1,0,0,Cough;Fever,False
213en,The only thing I have to write about in my blog is my severely runny nose.,0,0,0,0,0,0,1,0,Runnynose,False
214en,"Even though I took medicine, I still have a fever and am coughing. Get better, me.",0,0,0,1,0,1,0,0,Cough;Fever,False
215en,It's been a while since I've had such a horrendous headache. It's killing me.,0,0,0,0,1,0,0,0,Headache,False
216en,"No way, I have allergies again? Dang it.",0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
217en,I wonder how you say diarrhea in English.,0,0,0,0,0,0,0,0,sober,False
218en,It's been cold lately and I haven't been in great shape. Today I got diarrhea.,0,1,0,0,0,0,0,0,Diarrhea,False
219en,I remember when I ate a shirasu rice bowl and got diarrhea afterwards.,0,0,0,0,0,0,0,0,sober,False
220en,My runny nose is killing me. I gotta take medicine and rest immediately.,0,0,0,0,0,0,1,1,Runnynose;Cold,False
221en,"This woman I work with called the office, coughing theatrically while saying that she had to take a day off because of a high fever. Then later I found out on her blog that she had actually gone to an amusement park, which made me laugh.",0,0,0,0,0,0,0,0,sober,False
222en,I wonder if anyone will come up with medicine that prevents a cold.,0,0,0,0,0,0,0,0,sober,False
223en,"I can't write anything on my blog, as I am coughing too hard.",0,0,0,1,0,0,0,0,Cough,False
224en,I really need to start preparing for allergies.,0,0,0,0,0,0,0,0,sober,False
225en,I have a chill and feel lightheaded. I think I have a cold now.,0,0,0,0,0,0,0,1,Cold,False
226en,It's been a while since my head has throbbed like this.,0,0,0,0,1,0,0,0,Headache,False
227en,I caught a bug in Tokyo and have a fever.,0,0,0,0,0,1,0,0,Fever,False
228en,"In Tokyo, heat emitted from cars and air conditioning makes it even hotter.",0,0,0,0,0,0,0,0,sober,False
229en,"I heard that after you eat Nepali food, you must wash your hands, otherwise you get diarrhea.",0,0,0,0,0,0,0,0,sober,False
230en,"I think I have a cold, can I call in sick today? I know that taking today off would mean I'll have a harder time starting tomorrow. ",0,0,0,0,0,0,0,1,Cold,False
231en,"My brother got the flu, so I need to wear a mask even inside the house.",1,0,0,0,0,1,0,0,Influenza;Fever,False
232en,My runny nose is so bad. I wonder if medicine can be of any help.,0,0,0,0,0,0,1,0,Runnynose,False
233en,I just saw on the TV news that it's bad when your cell phone is hot.,0,0,0,0,0,0,0,0,sober,False
234en,You're coughing but it looks like you're faking it.,0,0,0,1,0,0,0,0,Cough,False
235en,My daughter has a fever and is resting.,0,0,0,0,0,1,0,0,Fever,False
236en,I wonder if dogs get a runny nose.,0,0,0,0,0,0,0,0,sober,False
237en,I learned that this disease called Spanish flu became a pandemic in Japan.,0,0,0,0,0,0,0,0,sober,False
238en,"God, did I catch a cold when I am going out tomorrow?",0,0,0,0,0,0,0,1,Cold,False
239en,They say that next spring more people are expected to have hay fever.,0,0,0,0,0,0,0,0,sober,False
240en,"My throat has been hurting since March. I didn't get throat pain from my allergies before, but I'm sure it's an allergy symptom.",0,0,1,1,0,0,1,0,Hayfever;Cough;Runnynose,False
241en,I'm going home early because I feel weak and my head hurts badly.,0,0,0,0,1,0,0,0,Headache,False
242en,My throat is in bad shape. It's important that I wash my hands and gargle.,0,0,0,1,0,0,0,0,Cough,False
243en,I'm not sure if my fever will go down by tomorrow so I can go to work.,0,0,0,0,0,1,0,0,Fever,False
244en,Even beautiful women have phlegm.,0,0,0,0,0,0,0,0,sober,False
245en,I wonder if there are fewer people suffering from allergies or eczema?,0,0,0,0,0,0,0,0,sober,False
246en,Someone please tell me how to cure nasal congestion.,0,0,0,0,0,0,1,0,Runnynose,False
247en,My head hurts a lot. I need medicine.,0,0,0,0,1,0,0,0,Headache,False
248en,"I'm going to bed now, because my headache is getting worse.",0,0,0,0,1,0,0,0,Headache,False
249en,It's really scary when I hear a story about someone dying of the flu.,0,0,0,0,0,0,0,0,sober,False
250en,"I think I'm getting better now, I've stopped coughing up phlegm!",0,0,0,1,0,0,0,0,Cough,False
251en,"There are diseases that start as colds, so I've got to be careful.",0,0,0,0,0,0,0,1,Cold,False
252en,My allergies are killing me. I wish cypress would go extinct...,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
253en,"I woke up with a headache felt so weak, so I left work early and just got home.",0,0,0,0,1,0,0,0,Headache,False
254en,My cold is kicking in. I feel lightheaded.,0,0,0,0,0,0,0,1,Cold,False
255en,"Mysterious fever. Other than that, I'm completely fine. I don't know if I should go see the doctor anyway.",0,0,0,0,0,1,0,0,Fever,False
256en,I just got a prescription for allergy medicine.,0,0,1,0,0,0,1,0,Hayfever;Runnynose,False
257en,"Since my kids are little, I'm going to go to have them vaccinated for the flu.",0,0,0,0,0,0,0,0,sober,False
258en,I have to go get vaccinated for the flu.,0,0,0,0,0,0,0,0,sober,False
259en,"I got to see my dog in one of the pictures I received from my parents in Tokyo. I had been feeling sick from a cold and a runny nose, but it gave me a little strength.",0,0,0,0,0,0,1,1,Runnynose;Cold,False
260en,I wonder if it's true that there is a remedy for the flu that uses tomatoes.,0,0,0,0,0,0,0,0,sober,False
261en,"I've come down with the flu even though it's not the season for it, I have a fever.",1,0,0,0,0,1,0,0,Influenza;Fever,False
262en,My head hurts so bad. It's been a while since I've been like this.,0,0,0,0,1,0,0,0,Headache,False
263en,"I have a sore throat, runny nose and fever, and I'm coughing, but I can't take a break from work.",0,0,0,1,0,1,1,0,Cough;Fever;Runnynose,False
264en,"There are so many medicines thanks to scientific developments, but they say that because there are so many types of cold viruses, there's been little progress in the research and development of specific medicines for each virus.",0,0,0,0,0,0,0,0,sober,False
265en,"I took medicine, hoping I will stop coughing. I hope it works.",0,0,0,1,0,0,0,0,Cough,False
266en,I think it's really bad when you cough up phlegm with something red in it.,0,0,0,1,0,0,0,0,Cough,False
267en,It's the season for coming down with a fever.,0,0,0,0,0,0,0,0,sober,False
268en,"Other than my head, my joints are hurting, and I have a fever. All in all, I'm in pain.",0,0,0,0,1,1,0,0,Headache;Fever,False
269en,You have to be super careful when the elderly catch a cold because it can be grave.,0,0,0,0,0,0,0,0,sober,False
270en,The taste of my phlegm medicine is so bad. I've been struggling for about an hour.,0,0,0,1,0,0,0,0,Cough,False
271en,My head is starting to hurt after all the theatrical coughing I did.,0,0,0,1,1,0,0,0,Cough;Headache,False
272en,Now is the worst time for me to catch a cold.,0,0,0,0,0,0,0,1,Cold,False
273en,Thinking about space gives me a headache.,0,0,0,0,0,0,0,0,sober,False
274en,I went to get a flu shot.,0,0,0,0,0,0,0,0,sober,False
275en,I remember the day when I had diarrhea that wouldn't stop.,0,0,0,0,0,0,0,0,sober,False
276en,"I love this season, because it's runny nose free.",0,0,0,0,0,0,0,0,sober,False
277en,It seems like a bird flu pandemic happens because of faulty management.,0,0,0,0,0,0,0,0,sober,False
278en,I caught a cold and my nose is stuffy as hell.,0,0,0,0,0,0,1,1,Runnynose;Cold,False
